"","X1","X2","X3","X4","X5","X6","X7"
"1","A01 vie saint alexis","que","le","et","quand","il","car"
"2","A02 vie saint barbre","et","en","que","de","a","quand"
"3","A03 vie saint basille","et","le","que","quand","de","ne"
"4","A04 vie saint christofle","que","le","et","mais","il","de"
"5","A06 saint jean evangeliste","que","et","le","car","de","si"
"6","A07 vie saint jean paulus","et","le","que","mais","quand","de"
"7","A08 vie glorieux confesseur","que","de","le","et","ne","a"
"8","A09 vie saint leu","le","que","et","a","en","de"
"9","A10 poines enfer","que","le","et","saint","de","quand"
"10","A11 vie saint sebastien","et","que","a","le","de","saint"
"11","A12 miracle saint servais","le","que","et","quand","de","en"
"12","A13 vie seint thibault","le","que","et","a","de","par"
"13","A14 miracle seint thomas","et","comme","il","le","moult","si"
"14","A15 vie saint yves","de","a","et","je","onque","bien"
"15","A16 guillaume angleterre","le","que","mais","et","quand","il"
"16","A17 robert deable","que","le","et","mais","Robert","a"
"17","A18 richart sans peour","que","et","mais","le","quand","de"
"18","A19 elegy troyes","de","le","en","et","je","a"
"19","A20 vieillards tués","le","a","et","quand","que","de"
"20","A21 mauvais riche homme","et","car","le","que","pour","si"
"21","A22 jeu des dez","et","le","que","car","ainsi","en"
"22","A23 roy avoit amie","et","le","que","de","par","pour"
"23","A24 dieu damours","je","et","que","asse","bénir","bien"
"24","A25 quatre sereurs","que","et","de","quand","le","car"
